               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035239,            0.033068,                   0,              5.3829,            0.083284,                 0.2,            0.016933,           0.0033662,            0.047373,            0.029829,                   0,              6.4718,             0.00011,             0.00011,             0.09901
                   1,            0.042831,            0.032393,                   0,              6.4624,             0.12452,                 0.2,            0.025065,           0.0049518,            0.046456,            0.030238,                   0,              6.4714,           0.0002255,           0.0002255,            0.097925
                   2,            0.042818,            0.032005,                   0,              6.9885,             0.12253,                 0.2,            0.024825,           0.0025064,            0.045549,            0.030905,                   0,              6.4671,          0.00032326,          0.00032326,            0.096823
                   3,            0.035179,             0.03143,                   0,              5.9128,            0.011743,                 0.2,            0.002779,          0.00060707,            0.045506,            0.030035,                   0,              6.4654,           0.0003925,           0.0003925,            0.095693
                   4,            0.043533,            0.030087,                   0,              6.9932,            0.022688,                 0.2,           0.0052815,           0.0010422,             0.04539,            0.030234,                   0,              6.4608,          0.00042693,          0.00042693,            0.094527
                   5,            0.037885,            0.028471,                   0,              5.9067,            0.013544,                 0.4,           0.0056317,          0.00056317,            0.044525,            0.030611,                   0,              6.4584,            0.000426,            0.000426,            0.093326
                   6,            0.055501,            0.028777,                   0,              8.5934,            0.041544,                 0.2,            0.011175,           0.0012681,            0.044125,            0.030945,                   0,              6.4577,          0.00039541,          0.00039541,            0.092095
                   7,            0.036914,            0.027627,                   0,              5.9081,            0.032128,                 0.2,           0.0067647,           0.0007016,            0.042766,             0.02997,                   0,              6.4557,          0.00034664,          0.00034664,            0.090847
                   8,            0.032903,            0.027041,                   0,              5.3578,            0.032204,                 0.2,           0.0067394,          0.00069787,            0.042413,            0.029416,                   0,               6.454,          0.00029574,          0.00029574,            0.089596
                   9,            0.032634,            0.026294,                   0,              5.3523,           0.0087821,                 0.2,           0.0045406,          0.00053349,             0.04029,            0.028817,                   0,              6.4539,           0.0002613,           0.0002613,            0.088361
                   0,            0.035239,            0.033068,                   0,              5.3829,            0.083284,                 0.2,            0.016933,           0.0033662,            0.047373,            0.029829,                   0,              6.4718,             0.00011,             0.00011,             0.09901
                   1,            0.042826,            0.032394,                   0,              6.4624,             0.12406,                 0.2,            0.025066,            0.004952,            0.046442,            0.030243,                   0,              6.4714,          0.00022995,          0.00022995,             0.09793
                   2,            0.042782,               0.032,                   0,              6.9885,           0.0044998,                 0.2,           0.0013553,           0.0005636,            0.045333,            0.031129,                   0,               6.467,          0.00034972,          0.00034972,             0.09685
                   3,            0.035163,            0.031388,                   0,              5.9125,           0.0090786,                 0.2,           0.0026354,           0.0004516,            0.045401,            0.030082,                   0,              6.4651,          0.00046917,          0.00046917,            0.095769
                   4,            0.043425,            0.029954,                   0,              6.9926,            0.019504,                 0.2,           0.0045515,          0.00051482,            0.045104,            0.030014,                   0,              6.4613,          0.00058814,          0.00058814,            0.094688
                   5,            0.037743,            0.028256,                   0,              5.9045,            0.011699,                 0.2,           0.0030174,          0.00033888,            0.044878,            0.030033,                   0,              6.4526,           0.0007065,           0.0007065,            0.093607
                   6,            0.054527,            0.028553,                   0,              8.5924,            0.011748,                 0.4,           0.0065817,           0.0016733,            0.044212,            0.030063,                   0,              6.4455,          0.00082412,          0.00082412,            0.092524
                   7,            0.036672,            0.026936,                   0,              5.9025,           0.0056987,                 0.2,           0.0015096,          0.00052704,            0.042969,            0.028179,                   0,              6.4423,          0.00094085,          0.00094085,            0.091441
                   8,            0.030536,            0.026577,                   0,              5.3458,            0.012057,                 0.4,           0.0051682,          0.00064467,            0.042324,             0.02734,                   0,              6.4376,           0.0010566,           0.0010566,            0.090357
                   9,            0.032076,            0.025115,                   0,               5.346,            0.011764,                 0.4,           0.0059855,          0.00083401,            0.037907,            0.027395,                   0,              6.4366,           0.0011711,           0.0011711,            0.089271
                  10,             0.03752,            0.025503,                   0,              6.4063,           0.0039882,                 0.2,            0.001254,          0.00019455,            0.040206,            0.024405,                   0,              6.4269,           0.0012844,           0.0012844,            0.088184
                  11,            0.048604,             0.02391,                   0,              7.4812,           0.0048254,                 0.2,           0.0012401,          0.00012401,             0.03901,            0.023717,                   0,               6.427,           0.0013962,           0.0013962,            0.087096
                  12,            0.036437,            0.023877,                   0,              6.3911,            0.011101,                 0.4,           0.0047054,           0.0012265,            0.039919,            0.023387,                   0,              6.4233,           0.0015065,           0.0015065,            0.086006
                  13,             0.04436,            0.024944,                   0,              7.4743,            0.031102,                 0.4,            0.012513,           0.0015673,             0.04052,             0.02332,                   0,               6.423,           0.0016151,           0.0016151,            0.084915
                  14,            0.038133,            0.023674,                   0,              6.9132,            0.026641,                 0.4,             0.01137,           0.0027245,            0.039379,             0.02257,                   0,              6.4232,           0.0017219,           0.0017219,            0.083822
